# File compiled in Jan 2016 using the file DYFAMED_AT-CT_1998-2013.xlsx provided by L. Coppola in March 2014
#Alkalinity and DIC at DYFAMED from 1998 to 2000 (Copin et al.)							
#Flag 0 and 9 : no measurement, flag 2 : good data, flag 3 : questionnable data, flag 4 : not good data
#Date	pressure (db)	pot. Temp (degC)	salinity 	TA(µmol/kg)	QF	TCO2(µmol/kg)	QF
date	pressure	temp	salinity	AT	QF_AT	CT	QF_CT
2/6/98	5	13.80	38.05	2536.20	2	2243.90	2
2/6/98	10	13.77	38.08	2540.50	2	2246.50	2
2/6/98	20	13.65	38.11	2543.20	2	2252.30	2
2/6/98	30	13.57	38.11	2539.50	2	2248.70	2
2/6/98	49	13.51	38.12	2543.20	2	2251.70	2
2/6/98	70	13.40	38.13	2542.60	2	2254.00	2
2/6/98	90	13.32	38.15	2542.00	2	2254.20	2
2/6/98	110	13.30	38.17	2544.80	2	2261.20	2
2/6/98	130	13.54	38.33	NaN	0	NaN	0
2/6/98	150	13.15	38.29	2557.10	2	2288.70	2
2/6/98	200	13.05	38.31	2560.20	2	2292.00	2
2/6/98	300	13.37	38.50	2580.80	2	2315.60	2
2/6/98	400	13.41	38.56	2584.90	2	2319.60	2
2/6/98	500	13.40	38.57	2585.10	2	2319.50	2
2/6/98	600	13.33	38.56	2588.00	2	2320.00	2
2/6/98	700	13.28	38.56	2589.20	2	2318.90	2
2/6/98	800	13.21	38.54	2585.80	2	2314.50	2
2/6/98	1000	13.09	38.51	2585.80	2	2314.30	2
2/6/98	1251	12.98	38.49	2579.20	2	2309.70	2
2/6/98	1500	12.88	38.46	2575.50	2	2307.00	2
2/6/98	2000	12.80	38.44	2579.30	2	2310.60	2
3/16/98	5	13.39	38.29	2562.20	2	2270.00	2
3/16/98	9	13.30	38.29	2562.70	2	2269.90	2
3/16/98	20	13.23	38.29	2564.00	2	2275.00	2
3/16/98	30	13.13	38.30	2562.80	2	2279.60	2
3/16/98	39	13.15	38.31	NaN	0	NaN	0
3/16/98	49	13.20	38.34	2566.20	2	2292.40	2
3/16/98	70	13.13	38.35	2567.20	2	2287.00	2
3/16/98	89	13.11	38.35	2566.80	2	2287.50	2
3/16/98	110	13.26	38.40	2571.40	2	2297.10	2
3/16/98	129	13.60	38.52	2583.10	2	2312.20	2
3/16/98	151	13.60	38.54	2585.50	2	2316.10	2
3/16/98	200	13.46	38.55	2586.20	2	2321.30	2
3/16/98	299	13.45	38.57	2588.20	2	2320.80	2
3/16/98	400	13.36	38.57	2588.70	2	2320.10	2
3/16/98	500	13.36	38.57	2591.80	2	2318.60	2
3/16/98	601	13.32	38.57	2589.40	2	2314.40	2
3/16/98	701	13.19	38.54	2587.60	2	2314.40	2
3/16/98	801	13.16	38.53	2587.10	2	2313.90	2
3/16/98	1001	13.02	38.50	2584.10	2	2313.10	2
3/16/98	1250	12.93	38.47	2581.70	2	2311.20	2
3/16/98	1500	12.86	38.45	2580.70	2	2310.40	2
3/16/98	1999	12.80	38.44	2579.10	2	2310.20	2
4/25/98	5	15.62	38.08	2541.40	2	2240.50	2
4/25/98	9	14.45	38.08	2543.00	2	2241.00	2
4/25/98	21	14.10	38.09	2545.10	2	2247.60	2
4/25/98	30	13.77	38.13	2546.50	2	2256.10	2
4/25/98	39	13.50	38.23	2558.40	2	2294.10	2
4/25/98	50	13.37	38.30	2561.60	2	2301.80	2
4/25/98	70	13.36	38.36	2565.00	2	2307.10	2
4/25/98	90	13.41	38.40	2570.00	2	2312.00	2
4/25/98	110	13.38	38.43	2571.30	2	2316.60	2
4/25/98	130	13.38	38.46	2574.60	2	2319.20	2
4/25/98	150	13.31	38.46	2576.60	2	2320.30	2
4/25/98	199	13.39	38.52	NaN	0	NaN	0
4/25/98	300	13.39	38.56	2589.20	2	2325.30	2
4/25/98	400	13.36	38.57	2592.50	2	2324.40	2
4/25/98	501	13.27	38.55	2591.10	2	2320.60	2
4/25/98	600	13.21	38.54	2590.30	2	2318.30	2
4/25/98	700	13.20	38.54	2589.10	2	2315.50	2
4/25/98	800	13.12	38.52	2587.70	2	2314.10	2
4/25/98	1000	13.04	38.50	2587.40	2	2316.00	2
4/25/98	1249	12.93	38.47	2583.10	2	2312.40	2
4/25/98	1500	12.84	38.45	2582.30	2	2311.80	2
4/25/98	2000	12.80	38.44	2580.70	2	2311.70	2
5/6/98	5	14.96	38.11	2545.30	2	2232.20	2
5/6/98	10	14.61	38.11	2544.60	2	2233.10	2
5/6/98	20	14.49	38.10	2547.70	2	2234.70	2
5/6/98	30	13.65	38.16	2553.10	2	2246.50	2
5/6/98	40	13.47	38.20	2555.20	2	2260.90	2
5/6/98	50	13.37	38.23	2557.90	2	2276.10	2
5/6/98	70	13.20	38.32	2564.30	2	2291.60	2
5/6/98	89	13.14	38.36	NaN	0	NaN	0
5/6/98	110	13.20	38.40	2572.10	2	2304.50	2
5/6/98	130	13.26	38.43	2577.40	2	2313.30	2
5/6/98	150	13.34	38.47	2580.40	2	2316.60	2
5/6/98	201	13.38	38.52	2586.90	2	2321.40	2
5/6/98	300	13.41	38.57	2590.60	2	2320.80	2
5/6/98	400	13.36	38.57	NaN	0	NaN	0
5/6/98	500	13.30	38.56	2593.00	2	2321.20	2
5/6/98	600	13.25	38.55	2590.10	2	2314.90	2
5/6/98	700	13.19	38.54	2587.40	2	2313.90	2
5/6/98	800	13.13	38.52	2587.10	2	2314.40	2
5/6/98	1000	13.04	38.50	2586.40	2	2316.70	2
5/6/98	1250	12.93	38.47	2588.10	2	2321.50	2
5/6/98	1500	12.84	38.45	2579.80	2	2313.90	2
5/6/98	2000	12.79	38.44	2580.90	2	2316.00	2
6/16/98	5	17.75	38.07	2537.50	2	2219.90	2
6/16/98	10	17.65	38.07	2539.10	2	2220.10	2
6/16/98	20	14.75	38.14	2546.00	2	2226.50	2
6/16/98	30	14.05	38.16	2549.50	2	2234.20	2
6/16/98	40	13.69	38.18	2552.80	2	2253.10	2
6/16/98	50	13.39	38.21	2552.50	2	2275.20	2
6/16/98	70	13.31	38.24	2555.50	2	2284.70	2
6/16/98	90	13.21	38.29	2556.80	2	2289.60	2
6/16/98	110	13.31	38.35	2565.10	2	2302.20	2
6/16/98	130	13.23	38.37	2567.30	2	2305.10	2
6/16/98	150	13.31	38.43	2573.60	2	2311.60	2
6/16/98	200	13.42	38.51	2579.30	2	2316.70	2
6/16/98	300	13.44	38.56	2586.80	2	2320.50	2
6/16/98	401	13.40	38.57	2588.80	2	2319.70	2
6/16/98	601	13.26	38.55	2589.00	2	2316.00	2
6/16/98	701	13.21	38.54	2588.10	2	2314.10	2
6/16/98	804	13.18	38.54	2588.70	2	2315.60	2
6/16/98	999	13.06	38.51	2583.30	2	NaN	0
6/16/98	1249	12.93	38.47	2580.50	2	2310.70	2
6/16/98	1499	12.85	38.45	2580.20	2	2310.40	2
6/16/98	2000	12.79	38.44	2580.00	2	2307.70	2
7/22/98	6	24.31	38.29	NaN	0	NaN	0
7/22/98	10	22.85	38.21	NaN	0	NaN	0
7/22/98	20	15.31	38.24	NaN	0	NaN	0
7/22/98	30	14.07	38.30	NaN	0	NaN	0
7/22/98	40	13.40	38.34	NaN	0	NaN	0
7/22/98	50	13.26	38.35	NaN	0	NaN	0
7/22/98	70	13.23	38.39	NaN	0	NaN	0
7/22/98	90	13.25	38.42	NaN	0	NaN	0
7/22/98	111	13.32	38.47	NaN	0	NaN	0
7/22/98	130	13.35	38.49	NaN	0	NaN	0
7/22/98	150	13.42	38.53	NaN	0	NaN	0
7/22/98	201	13.42	38.55	NaN	0	NaN	0
7/22/98	300	13.36	38.56	NaN	0	NaN	0
7/22/98	400	13.36	38.57	NaN	0	NaN	0
7/22/98	500	13.30	38.56	NaN	0	NaN	0
7/22/98	601	13.24	38.55	NaN	0	NaN	0
7/22/98	700	13.20	38.54	NaN	0	NaN	0
7/22/98	800	13.14	38.53	NaN	0	NaN	0
7/22/98	1000	13.03	38.50	NaN	0	NaN	0
7/22/98	1251	12.94	38.47	NaN	0	NaN	0
7/22/98	1501	12.87	38.45	NaN	0	NaN	0
7/22/98	2000	12.80	38.44	NaN	0	NaN	0
8/19/98	5	25.11	38.26	2557.70	2	2204.30	2
