SITE	LATITUDE	LONGITUDE	DATE	HEURE	COEF_MAREE	MAREE	PROF_TEXT	T (Température)	qT	S (Salinité)	qS	O (Oxygène)	qO
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-01-02	00:00:00	0	inc	S	13.820	2	37.884	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-01-02	00:00:00	0	inc	F	13.856	2	37.924	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-01-09	00:00:00	0	inc	S	13.041	2	37.572	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-01-09	00:00:00	0	inc	F	13.712	2	37.911	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-01-15	00:00:00	0	inc	S	13.151	2	37.654	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-01-15	00:00:00	0	inc	F	13.423	2	37.791	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-01-22	00:00:00	0	inc	S	13.138	2	37.607	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-01-22	00:00:00	0	inc	F	13.297	2	37.720	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-01-29	00:00:00	0	inc	S	13.310	2	37.659	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-01-29	00:00:00	0	inc	F	13.400	2	37.713	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-02-05	00:00:00	0	inc	S	13.267	2	37.658	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-02-05	00:00:00	0	inc	F	13.401	2	37.716	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-02-12	00:00:00	0	inc	S	13.310	2	37.684	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-02-12	00:00:00	0	inc	F	13.403	2	37.727	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-02-19	00:00:00	0	inc	S	13.433	2	37.729	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-02-19	00:00:00	0	inc	F	13.436	2	37.739	2	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	1997-02-26	00:00:00	0	inc	S	13.637	2	37.669	2	999999.00	9
